Date,Value
2021-11-23,299.4822656584246
2021-11-23,287.407134857814
2021-11-24,297.0863922119141
2021-11-24,287.4550547435693
2021-11-25,296.1280016254304
2021-11-25,282.7111989627895
2021-11-26,288.3175694413143
2021-11-26,266.4673260337988
2021-11-29,285.9217417833447
2021-11-29,258.7047967342409
2021-11-30,285.5862568867167
2021-11-30,249.0733772542869
2021-12-01,303.6510222085777
2021-12-01,283.8133080052787
2021-12-02,316.157402389548
2021-12-02,292.2946635733167
2021-12-03,301.8302178759794
2021-12-03,279.8841340837419
2021-12-06,295.1697359386243
2021-12-06,282.85501870361
2021-12-07,292.2946899618556
2021-12-07,280.3153993896484
2021-12-08,304.0344147493054
2021-12-08,282.7591815931441
2021-12-09,300.967670794564
2021-12-09,287.50296050924
2021-12-10,301.8781195595926
2021-12-10,287.7425568183101
2021-12-13,306.6698521835646
2021-12-13,288.6050753541132
2021-12-14,301.8781511688712
2021-12-14,290.6655224269289
2021-12-15,306.6218905098331
2021-12-15,278.9257511645213
2021-12-16,301.398890438572
2021-12-16,287.5029161576203
2021-12-17,305.0885561718561
2021-12-17,276.865337917652
2021-12-20,315.2949104812489
2021-12-20,279.9799579717005
2021-12-21,303.1239184581996
2021-12-21,284.2445764609737
2021-12-22,296.1279860927614
2021-12-22,284.627870127994
2021-12-23,295.6488823574438
2021-12-23,271.2111303311397
2021-12-24,287.3592122559571
2021-12-24,278.2070172154764
2021-12-27,288.6530209961984
2021-12-27,278.0633097142139
2021-12-28,291.3363561431401
2021-12-28,281.56124302139
2021-12-29,291.6238312203856
2021-12-29,280.7945644930694
2021-12-30,293.013367096101
2021-12-30,277.9194651115922
2021-12-31,286.3050224306
2021-12-31,280.7945491955341
2022-01-03,287.4550376389822
2022-01-03,280.6028607647723
2022-01-04,288.4612925850105
2022-01-04,273.6069735316295
2022-01-05,284.5800048864697
2022-01-05,269.7256863331337
2022-01-06,277.8716417093418
2022-01-06,268.3361145129449
2022-01-07,277.7757694751391
2022-01-07,270.7319414328451
2022-01-10,279.788291474053
2022-01-10,270.3965111525028
2022-01-11,290.3779968717055
2022-01-11,273.3194991830485
2022-01-12,292.2946269916756
2022-01-12,280.7945105198719
2022-01-13,286.7842311879392
2022-01-13,271.7861644621273
2022-01-14,317.2594176369547
2022-01-14,275.90692574924
2022-01-17,322.0033322197388
2022-01-17,309.06569833591
2022-01-18,316.4448940597687
2022-01-18,302.9322508958685
2022-01-19,314.6719691570895
2022-01-19,297.0863670638845
2022-01-20,308.9698688577318
2022-01-20,297.0864179874952
2022-01-21,295.5530692629795
2022-01-21,282.7112748317498
2022-01-24,289.7550369586592
2022-01-24,268.4319033645329
2022-01-25,299.0030727562122
2022-01-25,265.8443928128312
2022-01-27,311.2698933304879
2022-01-27,263.5923139733651
2022-01-28,326.842892052431
2022-01-28,285.5862346218576
2022-01-31,300.9197450156753
2022-01-31,290.7133964559665
2022-02-01,300.5843344605458
2022-02-01,287.8383817843844
2022-02-02,302.3093463071594
2022-02-02,292.3425545476769
2022-02-03,301.8781416701762
2022-02-03,290.3780219875028
2022-02-04,298.8113985907447
2022-02-04,287.50296050924
2022-02-07,294.3550765777978
2022-02-07,280.7945275960558
2022-02-08,294.2592301497894
2022-02-08,277.2486405298332
2022-02-09,301.8780828591445
2022-02-09,278.1111851770124
2022-02-10,301.7822908636283
2022-02-10,278.8778924847616
2022-02-11,291.3362998954406
2022-02-11,279.7882773382408
2022-02-14,291.3841558956288
2022-02-14,257.6505023389419
2022-02-15,277.8236736023253
2022-02-15,264.646455277181
2022-02-16,291.1926070907278
2022-02-16,271.1153039786466
2022-02-17,281.657080471843
2022-02-17,269.2465527053815
2022-02-18,290.3779849403783
2022-02-18,268.4319318618037
2022-02-21,282.6153893569232
2022-02-21,268.3360822574838
2022-02-22,281.7528824078988
2022-02-22,228.0856667111562
2022-02-23,278.8779055489156
2022-02-23,266.4673478818031
2022-02-24,277.9194962184741
2022-02-24,258.7526344103035
2022-02-25,276.9612568846337
2022-02-25,258.7527313455055
2022-02-28,273.3194631073528
2022-02-28,230.5773551093047
2022-03-02,290.3779783213544
2022-03-02,263.5922752232194
2022-03-03,281.6570250806236
2022-03-03,264.6943701293997
2022-03-04,274.7570413316999
2022-03-04,267.4256915422717
2022-03-07,273.9423932821029
2022-03-07,258.7526486159418
2022-03-08,284.052904695973
2022-03-08,266.2277162011594
2022-03-09,276.6258154398382
2022-03-09,268.3361509126922
2022-03-10,293.2050507941452
2022-03-10,264.8859977658065
2022-03-11,276.0507020921391
2022-03-11,267.8089753117874
2022-03-14,275.2840562215072
2022-03-14,269.7256779249583
2022-03-15,292.7738914780756
2022-03-15,268.6236275201458
2022-03-16,280.6508311695295
2022-03-16,271.2111441544661
2022-03-17,279.8841250235924
2022-03-17,274.0861602551815
2022-03-21,286.4967341601001
2022-03-21,268.3361173749478
2022-03-22,292.2946539088331
2022-03-22,273.6548683790732
2022-03-23,292.0550454424722
2022-03-23,287.4070757855123
2022-03-24,292.2946141045056
2022-03-24,277.8236289995785
2022-03-25,293.2529880951004
2022-03-25,282.7591194696437
2022-03-28,316.2052863867434
2022-03-28,289.4195876825051
2022-03-29,309.3052947380282
2022-03-29,293.3009502056519
2022-03-30,320.0866670801429
2022-03-30,288.4134322307693
2022-03-31,339.5888406593775
2022-03-31,310.0239538904263
2022-04-01,353.5807530812418
2022-04-01,330.9159118668671
2022-04-04,357.078689549506
2022-04-04,325.7408545632778
2022-04-05,344.9556211062324
2022-04-05,327.8012556939091
2022-04-06,335.4679799978319
